round,item_id,category,priority,evidence_strength,product_name_zh,product_name_ko,brand,item_type,korea_buy_locations,korea_price_krw_observed_or_range,taiwan_availability,why_buy_tw_consumer,risks,bringback_status,korea_source_url,taiwan_source_url,blockers
第二輪,KCAT100-001,貓砂,B｜可順手買,medium,PetFriends ㅁㅊ 無香膨潤土貓砂 6.3kg,펫프렌즈 ㅁㅊ모래 벤토나이트 6.3kg,Pet Friends,礦物膨潤土貓砂,Pet Friends / Danawa / Naver Shopping,"約31,900–54,400 KRW",未見主流台灣正式通路,無香、貓專用、非食品非植物；可試除臭/結團,重；粉塵/帶砂需先小量試用,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://prod.danawa.com/info/?pcode=15307775,https://shopee.tw/search?keyword=%E3%85%81%E3%85%8A%EB%AA%A8%EB%9E%98,
第二輪,KCAT100-002,貓砂,B｜可順手買,medium,Best Price 無香膨潤土貓砂 6kg,베스트 프라이스 벤토나이트 무향 6kg,Best Price / Pet Friends,礦物膨潤土貓砂,Pet Friends / Naver Shopping,"3包約23,700 KRW",未見主流台灣正式通路,便宜無香礦物砂，適合比較韓國平價砂,批次粉塵/結團差異；很重,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://blog.naver.com/dabin5581/224189680959,https://shopee.tw/search?keyword=%EB%B2%A0%EC%8A%A4%ED%8A%B8%20%ED%94%84%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EB%B2%A4%ED%86%A0%EB%82%98%EC%9D%B4%ED%8A%B8,
第二輪,KCAT100-003,貓砂,B｜可順手買,medium,Lavvie Sand Premium 膨潤土貓砂 6kg,펄송 라비샌드 벤토나이트 모래 프리미엄 6KG,PurrSong / Lavvie Sand,礦物膨潤土貓砂,Pet Friends,待查,未見主流台灣正式通路,Pet Friends 小眾砂試用候選,缺台灣售後；需確認無香與粉塵,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://m.pet-friends.co.kr/product/detail/255894,https://shopee.tw/search?keyword=Lavvie%20Sand%20%E8%B2%93%E7%A0%82,
第二輪,KCAT100-004,貓砂,C｜先觀望,weak,Poop/풉 安心膨潤土貓砂,풉모래,풉,礦物膨潤土貓砂,Coupang / Naver,"約26,300–78,900 KRW",未見主流台灣正式通路,主打低粉塵/結團，非食品入境風險低,來源偏廣告/零售；證據弱；重,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%ED%92%89%EB%AA%A8%EB%9E%98%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://shopee.tw/search?keyword=%ED%92%89%EB%AA%A8%EB%9E%98,
第二輪,KCAT100-005,貓砂,C｜先觀望,weak,雪花 Crystal A級鈉基膨潤土貓砂,눈꽃모래 크리스탈 천연 A급 소디움 벤토나이트,냥사장 / honestpet,礦物膨潤土貓砂,Naver SmartStore,待查,未見主流台灣正式通路,韓國 SmartStore 小眾礦砂試用,廣告證據；需確認無香精版本與粉塵,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://smartstore.naver.com/honestpet,https://shopee.tw/search?keyword=%EB%88%88%EA%BD%83%EB%AA%A8%EB%9E%98,
第二輪,KCAT100-006,貓砂,B｜可順手買,medium,虎郎이 Premium 無香膨潤土 6kg,호랑이 프리미엄 벤토나이트 무향 6kg,호랑이 / 벅벅펫,礦物膨潤土貓砂,Pet Friends / Naver SmartStore,依店鋪,未見主流台灣正式通路,無香膨潤土，避開豆腐/木質植物砂,購買時確認是벤토나이트 무향，不要豆腐/檜木款,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%ED%98%B8%EB%9E%91%EC%9D%B4%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%20%EB%B2%A4%ED%86%A0%EB%82%98%EC%9D%B4%ED%8A%B8%20%EB%AC%B4%ED%96%A5%206kg,https://shopee.tw/search?keyword=%ED%98%B8%EB%9E%91%EC%9D%B4%20%EB%B2%A4%ED%86%A0%EB%82%98%EC%9D%B4%ED%8A%B8,
第二輪,KCAT100-007,貓砂,C｜先觀望,weak,Sand Bible 無香凝結型貓砂 6kg,샌드바이블 응고형 고양이 모래 무향 6kg,Sand Bible / Pet Friends,凝結型礦物貓砂,Naver SmartStore / Pet Friends,依店鋪,未見主流台灣正式通路,無香凝結砂，韓國 Pet Friends 通路款,購買前確認非豆腐/木質/植物砂,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://smartstore.naver.com/main/products/10472253130,https://shopee.tw/search?keyword=%EC%83%8C%EB%93%9C%EB%B0%94%EC%9D%B4%EB%B8%94,
第二輪,KCAT100-008,貓砂,B｜可順手買,medium,Four Paws 악취안녕 膨潤土貓砂 6kg,포우장 악취안녕 벤토나이트 모래 6kg,포우장,礦物膨潤土貓砂,Fitpet Mall / Naver,"6kg×3 約29,900 KRW",未見主流台灣正式通路,主打惡臭管理，非食品可帶,活動贈品若含食品不要帶，只帶貓砂本體,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://www.fitpetmall.com/mall/home/events/M_petcup2606-stuff-cat,https://shopee.tw/search?keyword=%ED%8F%AC%EC%9A%B0%EC%9E%A5%20%EB%B2%A4%ED%86%A0%EB%82%98%EC%9D%B4%ED%8A%B8,
第三輪新增,KCAT100-051,貓砂,B｜可順手買,medium,Dustmon Original 無香膨潤土貓砂 7kg×2,더스트몬 오리지널 무향 먼지없는 고양이 모래 7kg x 2,Dustmon / 더스트몬,礦物膨潤土貓砂,한고연몰/KCLL / Naver SmartStore / 11번가,"約35,520–42,900 KRW / 7kg×2",台灣主流通路未確認,無香礦物砂，適合想試韓國低粉塵膨潤土砂的台灣貓家庭,重量高；粉塵/凝結力需實測,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://www.kcll.co.kr/product/%EB%8D%94%EC%8A%A4%ED%8A%B8%EB%AA%AC-%EB%A8%BC%EC%A7%80%EC%97%86%EB%8A%94-%EA%B3%A0%EC%96%91%EC%9D%B4%EB%AA%A8%EB%9E%98-%EB%AC%B4%ED%96%A5-%EB%B2%A4%ED%86%A0%EB%82%98%EC%9D%B4%ED%8A%B8-%ED%83%80%EC%9D%B4%EB%8B%887kg-x-2/411/,https://shopee.tw/search?keyword=Dustmon%20%E8%B2%93%E7%A0%82,只選無香礦物款，避開卡薩巴/植物款
第三輪新增,KCAT100-052,貓砂,B｜可順手買,medium,Dustmon Total Solution 無香膨潤土 6kg×2,더스트몬 먼지없는 고양이모래 무향 토탈솔루션 벤토나이트 6kg x 2,Dustmon / 더스트몬,礦物膨潤土貓砂,Naver SmartStore / 한고연몰,約3–4萬 KRW 區間需下單頁確認,台灣主流通路未確認,比大包砂稍易分裝帶回；無香、非食品、非植物纖維,同品牌不同系列易混淆,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://smartstore.naver.com/main/products/12868115037,https://shopee.tw/search?keyword=Dustmon%20%E8%B2%93%E7%A0%82,購買前確認成分為ベントナイト/膨潤土且無香
