round,item_id,category,priority,evidence_strength,product_name_zh,product_name_ko,brand,item_type,korea_buy_locations,korea_price_krw_observed_or_range,taiwan_availability,why_buy_tw_consumer,risks,bringback_status,korea_source_url,taiwan_source_url,blockers
第二輪,KCAT-NOLITTER-001,貓砂盆/貓廁所,A｜優先買,medium,Mango 抗菌中型貓砂盆,망고 고양이 항균 리터박스 중형,Mango,塑膠貓砂盆,Pet Friends,待查,未見主流台灣正式通路,非耗材非食品；尺寸合適比帶砂更值得,體積大易壓壞；抗菌不等於免清潔,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://m.pet-friends.co.kr/product/detail/348205,https://shopee.tw/search?keyword=%EB%A7%9D%EA%B3%A0%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%A6%AC%ED%84%B0%EB%B0%95%EC%8A%A4,原清單ID：KCAT100-009
第二輪,KCAT-NOLITTER-002,砂盆工具,A｜優先買,medium,Mango 貓砂鏟,망고 고양이 화장실 모래삽 배변용품 스쿱,Mango,貓砂鏟,Pet Friends,待查,未見主流台灣正式通路,輕、小、工具類，適合伴手,孔徑需配合砂種,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://m.pet-friends.co.kr/product/detail/348203,https://shopee.tw/search?keyword=%EB%A7%9D%EA%B3%A0%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%AA%A8%EB%9E%98%EC%82%BD,原清單ID：KCAT100-010
第二輪,KCAT-NOLITTER-003,砂盆工具,A｜優先買,medium,Mango 全換砂專用大砂鏟,망고 고양이 화장실 전체갈이 모래삽,Mango,大砂鏟/全換砂工具,Pet Friends,待查,未見主流台灣正式通路,換整盆砂時實用；比帶砂省重量,行李中防止柄部折斷,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://m.pet-friends.co.kr/product/detail/317772,https://shopee.tw/search?keyword=%E5%85%A8%E6%8F%9B%E7%A0%82%20%E8%B2%93%E7%A0%82%E9%8F%9F,原清單ID：KCAT100-011
第二輪,KCAT-NOLITTER-004,砂盆工具,B｜可順手買,weak,Scoopers Combi Scoop 複合砂鏟,스쿠퍼즈 콤비 스쿱,Scoopers,貓砂鏟,Naver SmartStore,待查,未見主流台灣正式通路,小工具，可配不同顆粒砂,確認孔徑；塑膠件可能斷裂,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://smartstore.naver.com/main/products/8446156449,https://shopee.tw/search?keyword=%EC%8A%A4%EC%BF%A0%ED%8D%BC%EC%A6%88%20%EC%BD%A4%EB%B9%84%20%EC%8A%A4%EC%BF%B1,原清單ID：KCAT100-012
第二輪,KCAT-NOLITTER-005,砂盆工具,A｜優先買,weak,Miyoubox 鐵製貓砂鏟,미유박스 철제 똥삽 모래삽 고양이 화장실 배변처리 스쿱,Miyoubox,金屬貓砂鏟,Naver SmartStore,待查,未見主流台灣正式通路,金屬鏟耐用，輕便適合帶回,金屬邊緣包好，建議託運,可攜回；金屬工具建議託運並包覆尖角,https://smartstore.naver.com/main/products/12743060537,https://shopee.tw/search?keyword=%E9%90%B5%E8%A3%BD%20%E8%B2%93%E7%A0%82%E9%8F%9F,原清單ID：KCAT100-013
第二輪,KCAT-NOLITTER-006,排泄物收納/除臭,A｜優先買,medium,Petsnology Litter Zero 貓排泄物密封垃圾桶,펫츠놀로지 고양이 배변 쓰레기통 리터제로,Petsnology,貓砂便便密封收納桶,Coupang / Naver Blog / Naver Shopping,依組合,台灣可見類似品，本品未見主流通路,台灣小坪數公寓臭味暫存實用,耗材袋補充需確認；體積偏大,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://blog.naver.com/songmin3466/224119738241,https://shopee.tw/search?keyword=Petsnology%20Litter%20Zero,原清單ID：KCAT100-014
第二輪,KCAT-NOLITTER-007,除臭,C｜先觀望,medium,Animalie 無香貓砂盆除臭噴霧 500ml,아니말리 고양이 모래 화장실 탈취제 무향 500ml,Animalie,無香液體除臭噴霧,Naver SmartStore,"500ml 約12,900 KRW",未見主流台灣正式通路,無香款且標示 limonene-free，適合貓廁清潔小物,液體需託運防漏；少量測試避免貓排斥,可託運但不優先；液體須防漏並遵守航空限制,https://blog.naver.com/hyexnjin/224135051728,https://shopee.tw/search?keyword=%EC%95%84%EB%8B%88%EB%A7%90%EB%A6%AC%20%E7%84%A1%E9%A6%99%20%E8%B2%93,原清單ID：KCAT100-015
第二輪,KCAT-NOLITTER-008,除臭,B｜可順手買,weak,S-Class 無香粉末型貓砂除臭劑 10入,에스클래스 탈취제 가루형 무향 10개입,S-Class,無香粉末除臭劑,Naver SmartStore,待查,未見主流台灣正式通路,粉末非液體，行李友善；無香較適合貓,確認成分非植物/精油；粉末可能揚塵,條件可攜回；購買前確認非植物/非精油,https://smartstore.naver.com/main/products/9648467659,https://shopee.tw/search?keyword=%EC%97%90%EC%8A%A4%ED%81%B4%EB%9E%98%EC%8A%A4%20%ED%83%88%EC%B7%A8%EC%A0%9C,原清單ID：KCAT100-016
第二輪,KCAT-NOLITTER-009,除臭,C｜先觀望,weak,Nyang Fresh 無香四孔貓砂盆除臭器,냥프레쉬 고양이 화장실 모래 냄새제거 반영구 살균 탈취제 무향 4구 1세트,Nyang Fresh,固態/裝置型無香除臭,Naver SmartStore,依店鋪,未見主流台灣正式通路,無香固態裝置，比液體噴霧更好帶,若含電池/臭氧/殺菌機制需確認安全,條件可攜回；若含電池依航空規範,https://smartstore.naver.com/main/products/8716804658,https://shopee.tw/search?keyword=%EB%83%A5%ED%94%84%EB%A0%88%EC%89%AC,原清單ID：KCAT100-017
第二輪,KCAT-NOLITTER-010,飲水,A｜優先買,medium,PETKIT Eversweet 3 Pro UVC 智慧寵物飲水機,펫킷 UVC 에버스윗3 Pro 고양이 살균 무선 정수기,PETKIT,飲水機,PETKIT Korea / Coupang / Naver Shopping,"約89,000–159,000 KRW",台灣有代理/平輸,UVC/無線版適合多貓飲水管理,韓版插頭/電壓、APP區域、電池/保固；濾芯另買,可攜回電子品；確認鋰電池容量與託運/手提規則,https://search.naver.com/search.naver?where=nexearch&query=PETKIT%20Uvc%20%EC%97%90%EB%B2%84%EC%8A%A4%EC%9C%973%20Pro%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%82%B4%EA%B7%A0%20%EB%AC%B4%EC%84%A0%20%EC%A0%95%EC%88%98%EA%B8%B0,https://www.google.com/search?q=PETKIT%20Eversweet%203%20Pro%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-018
