round,item_id,category,priority,evidence_strength,product_name_zh,product_name_ko,brand,item_type,korea_buy_locations,korea_price_krw_observed_or_range,taiwan_availability,why_buy_tw_consumer,risks,bringback_status,korea_source_url,taiwan_source_url,blockers,popularity_keep_or_drop,popularity_confidence_level,best_popularity_signal,rating_or_review_count,popularity_reason,recommended_rank_delta,popularity_rank
第二輪,KCAT-NOLITTER-018,旅行,B｜可順手買,weak,M-PETS 貓用折疊矽膠旅行碗,엠펫츠 고양이 휴대용 실리콘 식기,M-PETS,旅行碗,Molly’s/SSG / Coupang / Naver,"約5,000–15,000 KRW",台灣可找同類,便宜輕巧，臨時餵水好用,矽膠異味需清洗；價差有限,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%A0%ED%8E%AB%EC%B8%A0%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%ED%9C%B4%EB%8C%80%EC%9A%A9%20%EC%8B%A4%EB%A6%AC%EC%BD%98%20%EC%8B%9D%EA%B8%B0,https://www.google.com/search?q=M-PETS%20%E7%9F%BD%E8%86%A0%20%E6%97%85%E8%A1%8C%E7%A2%97%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-026,drop,low,Low,未達高評論/高評分門檻,泛用低單價旅行碗，可替代品多，未達韓國或台灣高評論/高評分門檻。,-3,
第二輪,KCAT-NOLITTER-024,美容,B｜可順手買,weak,Pet Republique 貓用牙刷組,펫리퍼블릭 고양이 칫솔,Pet Republique,牙刷組,Coupang / Naver Shopping,"約8,000–18,000 KRW",台灣較少/可找同類,小件、非液體，適合多貓備品,若套組含牙膏/潔牙液則排除或另受限制,可攜回；確認包裝不含膏/液,https://search.naver.com/search.naver?where=nexearch&query=%ED%8E%AB%EB%A6%AC%ED%8D%BC%EB%B8%94%EB%A6%AD%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%B9%AB%EC%86%94,https://www.google.com/search?q=Pet%20Republique%20%E8%B2%93%20%E7%89%99%E5%88%B7%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-032,drop,low,Low,未達高評論/高評分門檻,Pet Republique 牙刷組台韓品牌辨識與評論證據弱，且同質性高；以 PETHROOM 牙刷替代。,-3,
第二輪,KCAT-NOLITTER-026,健康工具,C｜先觀望,weak,小米電子嬰兒/寵物秤替代款,샤오미 반려동물 체중계 고양이,Xiaomi,體重計,Coupang / Naver Shopping / 小米通路,"約29,000–79,000 KRW",台灣可買小米/同類,可兼作貓秤，韓國促銷時值得,非貓專用要看托盤尺寸；保固區域,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EC%83%A4%EC%98%A4%EB%AF%B8%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%EC%B2%B4%EC%A4%91%EA%B3%84%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=%E5%B0%8F%E7%B1%B3%20%E5%AF%B5%E7%89%A9%20%E9%AB%94%E9%87%8D%E8%A8%88%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-034,drop,medium,Taiwan medium,未達高評論/高評分門檻,小米秤類通路強但不是明確貓用品，貓用款人氣證據不足。,-2,
第二輪,KCAT-NOLITTER-027,健康工具,B｜可順手買,medium,寵物藥錠切割器/磨藥器,고양이 알약 커터,Generic / Korean pet shops,藥錠切割器,Coupang / Naver Shopping / 藥局/寵物店,"約3,000–12,000 KRW",台灣藥局/電商常見,不含藥品，餵藥家庭備用,刀片利器託運；劑量需獸醫指示,可攜回；勿連藥品一起帶,https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%95%8C%EC%95%BD%20%EC%BB%A4%ED%84%B0,https://www.google.com/search?q=%E8%B2%93%20%E8%97%A5%E9%8C%A0%E5%88%87%E5%89%B2%E5%99%A8%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-035,drop,low,Low-medium utility,未達高評論/高評分門檻,藥錠切割器太泛用，無明確品牌或熱門 SKU 可驗證。,-2,
第二輪,KCAT-NOLITTER-028,監控,C｜先觀望,weak,Eufy Pet Camera D605 貓狗看護攝影機,유피 펫카메라 고양이,Eufy / Anker,寵物攝影機,Coupang / Naver Shopping / 電子通路,"約169,000–299,000 KRW",台灣有 Anker/Eufy 部分品項,出門看貓與語音互動；韓國特價可比,插頭/電壓、APP區域、隱私、保固,可攜回電子品；若有投食功能勿裝食物過海關,https://search.naver.com/search.naver?where=nexearch&query=%EC%9C%A0%ED%94%BC%20%ED%8E%AB%EC%B9%B4%EB%A9%94%EB%9D%BC%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=Eufy%20Pet%20Camera%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-036,drop,low,Taiwan low-medium,未達高評論/高評分門檻,Eufy Pet Camera D605 台韓型號能見度弱，未達高評論/高評分門檻。,-3,
第二輪,KCAT-NOLITTER-031,抓板,B｜可順手買,weak,Pidan 波浪瓦楞貓抓板,pidan 고양이 스크래쳐,pidan,瓦楞紙抓板,Coupang / Naver Shopping,"約15,000–45,000 KRW",台灣有平輸,設計感強，非食品；可作送禮,紙材潮濕與紙屑；確認不附貓草,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=pidan%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%8A%A4%ED%81%AC%EB%9E%98%EC%B3%90%20-%EC%BA%A3%EB%8B%A2,https://www.google.com/search?q=pidan%20%E8%B2%93%20%E6%8A%93%E6%9D%BF%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-039,drop,medium,Taiwan weak search,未達高評論/高評分門檻,Pidan 波浪抓板僅有品牌/通路能見度，缺韓國或台灣同款高評論證據。,-2,
第二輪,KCAT-NOLITTER-033,玩具,B｜可順手買,medium,Petstages Tower of Tracks 三層軌道球,펫스테이지 타워오브트랙 고양이 장난감,Petstages,軌道球玩具,Coupang / Naver Shopping,"約15,000–30,000 KRW",台灣有進口,非植物非食物，耐玩度高，適合多貓,塑膠件破損需丟；小球不可拆吞,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%ED%8E%AB%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%A7%80%20%ED%83%80%EC%9B%8C%EC%98%A4%EB%B8%8C%ED%8A%B8%EB%9E%99%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=Petstages%20Tower%20of%20Tracks%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-041,drop,medium,Korea weak,未達高評論/高評分門檻,Petstages Tower of Tracks 本次只驗到低評論量，未達人氣驗證門檻。,-2,
第二輪,KCAT-NOLITTER-037,貓床/窩,B｜可順手買,weak,Petmate Aspen Pet 自暖貓床,아스펜펫 셀프워밍 고양이 침대,Aspen Pet / Petmate,自暖墊/貓床,Coupang / Naver Shopping,"約20,000–50,000 KRW",台灣有類似,非電熱、非食品；冬天或冷氣房實用,確認不是電熱款；布品需清洗除味,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%EC%8A%A4%ED%8E%9C%ED%8E%AB%20%EC%85%80%ED%94%84%EC%9B%8C%EB%B0%8D%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%B9%A8%EB%8C%80,https://www.google.com/search?q=self%20warming%20cat%20bed%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-045,drop,medium,none,未達高評論/高評分門檻,Petmate Aspen Pet 自暖貓床缺少台韓同款人氣/評論驗證。,-3,
第二輪,KCAT-NOLITTER-039,家居小物,B｜可順手買,medium,Necono 猫壱 Portable Cage 折疊外出籠,네코이치 휴대용 케이지 고양이,Necoichi,折疊外出籠/臨時帳篷,Coupang / Naver Shopping,"約40,000–80,000 KRW",台灣有進口/平輸,折疊好帶，可作災害避難/旅宿臨時籠,網布咬破、逃脫、尺寸需確認,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EB%84%A4%EC%BD%94%EC%9D%B4%EC%B9%98%20%ED%9C%B4%EB%8C%80%EC%9A%A9%20%EC%BC%80%EC%9D%B4%EC%A7%80%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=Necoichi%20Portable%20Cage%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-047,drop,medium,conflict_low,未達高評論/高評分門檻,Necoichi Portable Cage 出現審核衝突；父代理採保守規則，未見明確高評論/高評分，移出主清單。,-3,
第二輪,KCAT-NOLITTER-040,家居小物,B｜可順手買,medium,Necoichi Portable Litter Box 折疊貓砂盆,네코이치 휴대용 고양이 화장실,Necoichi,折疊貓砂盆,Coupang / Naver Shopping,"約20,000–45,000 KRW",台灣有進口/平輸,旅行/搬家/住院陪伴時實用，非食品,布面防水層清潔、漏砂與尺寸,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EB%84%A4%EC%BD%94%EC%9D%B4%EC%B9%98%20%ED%9C%B4%EB%8C%80%EC%9A%A9%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%ED%99%94%EC%9E%A5%EC%8B%A4,https://www.google.com/search?q=Necoichi%20Portable%20Litter%20Box%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-048,drop,medium,conflict_low,未達高評論/高評分門檻,Necoichi Portable Litter Box 出現審核衝突；未見可靠高評論/高評分，且屬砂盆相關低優先，移出主清單。,-3,
