round,item_id,category,priority,evidence_strength,product_name_zh,product_name_ko,brand,item_type,korea_buy_locations,korea_price_krw_observed_or_range,taiwan_availability,why_buy_tw_consumer,risks,bringback_status,korea_source_url,taiwan_source_url,blockers,popularity_keep_or_drop,popularity_confidence_level,best_popularity_signal,rating_or_review_count,popularity_reason,recommended_rank_delta,popularity_rank
第三輪新增,KCAT-NOLITTER-047,砂盆,B｜可順手買,strong,CatsTag BESPOKE Myorae Box Long 大型砂盆,캣츠태그 BESPOKE 묘래박스 롱 고양이 화장실 대형,CatsTag / 캣츠태그,塑膠開放式大砂盆,Naver Gift/SmartStore / 코니허브,"約48,800 KRW",台灣主流通路未確認,韓國貓家庭討論度高的大型砂盆，適合大貓,非常佔行李；性價比需評估,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://shopping.naver.com/gift/products/5164371075,https://shopee.tw/search?keyword=CatsTag%20%E8%B2%93%E7%A0%82%E7%9B%86,確認行李箱尺寸；原清單ID：KCAT100-066,keep,high,Korea very high,"Korea Naver product 4.93/5, 4,688 reviews",最強砂盆人氣證據，保留上調。,4,1
第三輪新增,KCAT-NOLITTER-045,清潔周邊,A｜優先買,strong,LabCat 不鏽鋼細孔貓砂鏟,랩캣 고양이 모래삽 스테인리스 화장실 촘촘삽 슈퍼 똥삽,LabCat / 랩캣,不鏽鋼砂鏟,Naver Shopping / 코니허브 / 오늘의집,"約6,500 KRW",台灣有泛用不鏽鋼砂鏟；此品牌未見主流通路,金屬材質輕小耐用，比塑膠鏟更好清洗,邊緣與孔徑需確認,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://conyhub.kr/products/16785/,https://shopee.tw/search?keyword=%E4%B8%8D%E9%8F%BD%E9%8B%BC%20%E8%B2%93%E7%A0%82%E9%8F%9F,托運較安全；原清單ID：KCAT100-064,keep,high,Korea high review-count signal,Korea Conyhub/LabCat listing 800+ reviews,本批最強工具項之一，高評論數，上調。,3,2
第三輪新增,KCAT-NOLITTER-056,隧道/躲藏,A｜優先買,strong,迷宮式毛氈隧道,펫홀릭 미로터널,펫홀릭,可組合隧道/躲藏屋,PetFriends / Coupang / Naver Shopping,"約29,600–34,500 KRW",台灣未見同品牌常態販售,可折疊互動性高，適合可變換空間的貓家庭,需監督接縫與啃咬,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/songmin3466/224205910142,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%ED%8E%AB%ED%99%80%EB%A6%AD+%EB%AF%B8%EB%A1%9C%ED%84%B0%EB%84%90,只選合成纖維且不附貓薄荷/木天蓼版本；原清單ID：KCAT100-075,keep,high,Korea very high,"KR PetFriends 4.6/5, 6,168 reviews; Naver Shopping 4.69/5, 1,170 reviews",本批最強人氣訊號之一，上調。,3,3
第三輪新增,KCAT-NOLITTER-069,餵食/飲水工具,A｜優先買,strong,PETLIBRO Granary Camera 影像自動餵食器,펫리브로 카메라 자동급식기,PETLIBRO,Wi‑Fi攝影機自動餵食器,LotteON / Naver Shopping / Coupang / 韓國部落格,"約220,000–398,000 KRW",台灣蝦皮/電商可見PETLIBRO同品牌,可遠端看進食、錄音提醒，功能差異明顯,App地區、2.4GHz、保固、隱私需確認,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=PETLIBRO%20%EC%9E%90%EB%8F%99%EA%B8%89%EC%8B%9D%EA%B8%B0%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://shopee.tw/search?keyword=PETLIBRO%20%E8%87%AA%E5%8B%95%E9%A4%B5%E9%A3%9F%E5%99%A8%20%E8%B2%93,確認韓版/美版、插頭與App功能；原清單ID：KCAT100-088,keep,high,Taiwan high,PETLIBRO 自動餵食器台灣能見度高；韓國 LotteON/Naver 可見,智慧影像餵食器熱門，上調。,3,4
第二輪,KCAT-NOLITTER-004,砂盆工具,B｜可順手買,weak,Scoopers Combi Scoop 複合砂鏟,스쿠퍼즈 콤비 스쿱,Scoopers,貓砂鏟,Naver SmartStore,待查,未見主流台灣正式通路,小工具，可配不同顆粒砂,確認孔徑；塑膠件可能斷裂,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://smartstore.naver.com/main/products/8446156449,https://shopee.tw/search?keyword=%EC%8A%A4%EC%BF%A0%ED%8D%BC%EC%A6%88%20%EC%BD%A4%EB%B9%84%20%EC%8A%A4%EC%BF%B1,原清單ID：KCAT100-012,keep,high,Korea official-store review signal,"Korea: 4.8/5, 57 reviews",Scoopers 官方/商店評論較 Mango 工具強，建議上調。,2,5
第二輪,KCAT-NOLITTER-019,美容,A｜優先買,medium,PETHROOM Healing Brush 貓狗梳/按摩梳,페스룸 힐링 브러쉬 고양이,PETHROOM,梳毛刷,PETHROOM Korea / Coupang / Naver,"約18,000–32,000 KRW",台灣較少/平輸,韓國品牌非液體，短毛貓梳理可買,犬貓共用需貓接受；長毛打結需排梳,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%ED%8E%98%EC%8A%A4%EB%A3%B8%20%ED%9E%90%EB%A7%81%20%EB%B8%8C%EB%9F%AC%EC%89%AC%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=PETHROOM%20%E8%B2%93%20%E6%A2%B3%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-027,keep,high,Korea high,PETHROOM 韓國品牌強，官方/Naver/Coupang 能見度強,韓國本土品牌強項商品，上調。,2,6
第二輪,KCAT-NOLITTER-020,美容,B｜可順手買,strong,FURminator 貓用除毛梳 S/L,퍼미네이터 고양이 브러쉬,FURminator,除毛梳,Coupang / Naver Shopping / Pet Friends,"約36,000–44,000 KRW",台灣常見,韓國若低於台灣可買；換毛季實用,刀片型勿過度梳；買貓用尺寸,可攜回；刀片工具建議託運,https://search.naver.com/search.naver?where=nexearch&query=FURminator%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%B8%8C%EB%9F%AC%EC%89%AC,https://www.google.com/search?q=FURminator%20%E8%B2%93%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-028,keep,high,Korea/Taiwan high,FURminator 台韓通路常見，除毛梳代表品牌,代表品牌，人氣/信任度明確。,2,7
第二輪,KCAT-NOLITTER-029,抓板,B｜可順手買,weak,Garigari Wall 貓用直立抓板,가리가리 월 고양이 스크래쳐,Garigari,直立紙抓板,Coupang / Naver Shopping / Pet Friends,"約20,000–45,000 KRW",台灣有平輸/同類,直立抓板可滿足站立伸展，非食品好帶,紙材怕潮；確認不含貓草包,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%80%EB%A6%AC%EA%B0%80%EB%A6%AC%20%EC%9B%94%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%8A%A4%ED%81%AC%EB%9E%98%EC%B3%90,https://www.google.com/search?q=%E5%8A%A0%E9%87%8C%E5%8A%A0%E9%87%8C%20%E8%B2%93%20%E6%8A%93%E6%9D%BF%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-037,keep,high,Korea high,"KR Coupang 4.6/5, 2,716 reviews",Garigari Wall 韓國高評論高評分，保留上調。,2,8
第二輪,KCAT-NOLITTER-038,家居小物,B｜可順手買,medium,Necono 猫壱 Happy Dining 高腳貓碗,네코이치 해피다이닝 고양이 식기,Necoichi,高腳陶瓷碗,Coupang / Naver Shopping / Pet Friends,"約18,000–35,000 KRW",台灣有進口,非食品、設計實用，適合送禮,陶瓷易碎；確認碗高適合貓,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EB%84%A4%EC%BD%94%EC%9D%B4%EC%B9%98%20%ED%95%B4%ED%94%BC%EB%8B%A4%EC%9D%B4%EB%8B%9D%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%8B%9D%EA%B8%B0,https://www.google.com/search?q=Necoichi%20Happy%20Dining%20%E8%B2%93%E7%A2%97%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-046,keep,high,Korea high,"KR Coupang 4.5/5, 551 reviews; TW PChome Necoichi 95 results",Necoichi 高腳貓碗韓國評論數高，保留上調。,2,9
第三輪新增,KCAT-NOLITTER-050,玩具,A｜優先買,strong,不倒翁自動雷射逗貓玩具,내꼬냥 스마트 자동 레이저 토이 텀블러,내꼬냥,USB充電雷射玩具,Naver SmartStore / Coupang / 韓國貓展,"約23,400–32,000 KRW",台灣未見穩定代理，多為相似款,體積小、非食品，韓國限定感玩具伴手禮,雷射不可照眼；需搭配實體玩具收尾,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/wjdal628/224181708679,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%E5%85%A7%E5%93%88%E7%BE%8A+%E8%87%AA%E5%8B%95%E9%9B%B7%E5%B0%84+%E8%B2%93,確認內建電池容量與航空規範；原清單ID：KCAT100-069,keep,high,Korea high,"KR PetFriends 4.5/5, 126 reviews; SmartStore snippets 118/282",韓國本地品牌小型電子玩具，保留上調。,2,10
